inn,org_id,company_name,year,revenue_2110,cost_2120,other_income_2340,other_expenses_2350,net_profit_2400,tax_2410,assets_1600,balance_total_1700
2301092200,9798856,"""СПЕЦТЕХСТРОЙ-АНАПА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,0.0,0.0,0.0,0.0,0.0,0.0,51691.0,51691.0
2301092200,9798856,"""СПЕЦТЕХСТРОЙ-АНАПА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,2847.0,2569.0,10.0,0.0,90.0,-23.0,51691.0,51691.0
2301092200,9798856,"""СПЕЦТЕХСТРОЙ-АНАПА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,15149.0,14242.0,0.0,0.0,91.0,-18.0,40838.0,40838.0
5056004380,3338550,"""УГРЕША-СТРОЙСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2025,10668.0,10578.0,,,68.0,-22.0,24474.0,24474.0
5056004380,3338550,"""УГРЕША-СТРОЙСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,15308.0,14939.0,,,295.0,74.0,27000.0,27000.0
5056004380,3338550,"""УГРЕША-СТРОЙСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,15331.0,15152.0,,,143.0,36.0,20823.0,20823.0
5056004380,3338550,"""УГРЕША-СТРОЙСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,9024.0,8549.0,,,380.0,95.0,8301.0,8301.0
5056004380,3338550,"""УГРЕША-СТРОЙСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,,,,,,,1131.0,1131.0
5027006369,6900709,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,429496.0,419348.0,32372.0,39388.0,28998.0,-8184.0,3788692.0,3788692.0
5027006369,6900709,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,1565001.0,854018.0,28272.0,30088.0,582441.0,-145629.0,3571591.0,3571591.0
5027006369,6900709,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,683396.0,659189.0,29711.0,21808.0,31442.0,-8568.0,4431904.0,4431904.0
5027006369,6900709,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,584219.0,554203.0,2747.0,9471.0,20376.0,-5463.0,5265309.0,5265309.0
7103043601,9129155,АВТОГАРАЖНЫЙ КООПЕРАТИВ №13 УЛ.БОЛЬШИЕ ГОНЧАРЫ 127,2024,,,,,,,0.0,0.0
7103043601,9129155,АВТОГАРАЖНЫЙ КООПЕРАТИВ №13 УЛ.БОЛЬШИЕ ГОНЧАРЫ 127,2023,,,,,,,0.0,0.0
7103043601,9129155,АВТОГАРАЖНЫЙ КООПЕРАТИВ №13 УЛ.БОЛЬШИЕ ГОНЧАРЫ 127,2022,,,,,,,0.0,0.0
7103043601,9129155,АВТОГАРАЖНЫЙ КООПЕРАТИВ №13 УЛ.БОЛЬШИЕ ГОНЧАРЫ 127,2021,,,,,,,0.0,0.0
5261021220,2445089,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""НИЖЕГОРОДСПЕЦСТРОЙМОНТАЖ""",2024,45475.0,45389.0,,,69.0,-17.0,15390.0,15390.0
5261021220,2445089,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""НИЖЕГОРОДСПЕЦСТРОЙМОНТАЖ""",2023,39450.0,39329.0,,,97.0,-24.0,14201.0,14201.0
5261021220,2445089,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""НИЖЕГОРОДСПЕЦСТРОЙМОНТАЖ""",2022,67032.0,66726.0,,,245.0,-61.0,25498.0,25498.0
5261021220,2445089,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""НИЖЕГОРОДСПЕЦСТРОЙМОНТАЖ""",2021,62968.0,62742.0,,,181.0,-45.0,20623.0,20623.0
7718285059,9510572,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОТКРЫТЫЕ МАСТЕРСКИЕ""",2024,132911.0,196084.0,28.0,79895.0,-137732.0,23743.0,616416.0,616416.0
7718285059,9510572,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОТКРЫТЫЕ МАСТЕРСКИЕ""",2023,0.0,0.0,226.0,1246.0,938.0,-261.0,476209.0,476209.0
7718285059,9510572,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОТКРЫТЫЕ МАСТЕРСКИЕ""",2022,41667.0,42299.0,20386.0,13051.0,1521.0,-984.0,166246.0,166246.0
7718285059,9510572,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОТКРЫТЫЕ МАСТЕРСКИЕ""",2021,1191946.0,,6738.0,15762.0,936266.0,-235790.0,192116.0,192116.0
7734244966,4509590,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЦЕНТР""",2024,654331.0,613856.0,1.0,712.0,34645.0,5119.0,519988.0,519988.0
7734244966,4509590,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЦЕНТР""",2023,68445.0,65906.0,4.0,842.0,1334.0,367.0,136043.0,136043.0
7734244966,4509590,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЦЕНТР""",2022,13106.0,10155.0,0.0,215.0,234.0,-59.0,83910.0,83910.0
7734244966,4509590,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЦЕНТР""",2021,25143.0,21906.0,329.0,400.0,553.0,-139.0,63577.0,63577.0
7734728893,8628104,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ИНВЕСТИЦИОННАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ  ""СПЕЦМОНТАЖ""",2024,357.0,1366.0,0.0,1.0,-1543.0,-21.0,2700.0,2700.0
7734728893,8628104,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ИНВЕСТИЦИОННАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ  ""СПЕЦМОНТАЖ""",2023,2420.0,1646.0,0.0,8.0,131.0,-15.0,3353.0,3353.0
7734728893,8628104,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ИНВЕСТИЦИОННАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ  ""СПЕЦМОНТАЖ""",2022,2121.0,1718.0,2.0,52.0,11.0,-94.0,1710.0,1710.0
7734728893,8628104,"АКЦИОНЕРНОЕ ОБЩЕСТВО  ИНВЕСТИЦИОННАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ  ""СПЕЦМОНТАЖ""",2021,2320.0,1499.0,-6.0,88.0,372.0,-117.0,1469.0,1469.0
7813470118,2107575,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""1025 УПРАВЛЕНИЕ НАЧАЛЬНИКА РАБОТ""",2025,113065.0,67672.0,0.0,62.0,2855.0,-952.0,64948.0,64948.0
7813470118,2107575,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""1025 УПРАВЛЕНИЕ НАЧАЛЬНИКА РАБОТ""",2024,68692.0,50167.0,5.0,95.0,3603.0,-900.0,49227.0,49227.0
7813470118,2107575,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""1025 УПРАВЛЕНИЕ НАЧАЛЬНИКА РАБОТ""",2023,98706.0,71961.0,0.0,119.0,4296.0,-1075.0,82156.0,82156.0
7813470118,2107575,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""1025 УПРАВЛЕНИЕ НАЧАЛЬНИКА РАБОТ""",2022,37231.0,25482.0,-118.0,150.0,1356.0,-353.0,58956.0,58956.0
7813470118,2107575,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""1025 УПРАВЛЕНИЕ НАЧАЛЬНИКА РАБОТ""",2021,140763.0,120040.0,62.0,702.0,4632.0,-1171.0,72446.0,72446.0
1414006922,4980670,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",2024,1107569.0,930030.0,53923.0,89801.0,54850.0,-16937.0,2230329.0,2230329.0
1414006922,4980670,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",2023,1002486.0,916947.0,24172.0,26659.0,19889.0,-8624.0,1896617.0,1896617.0
1414006922,4980670,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",2022,938983.0,890049.0,4031.0,9085.0,3375.0,-3933.0,1651185.0,1651185.0
1414006922,4980670,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",2021,685315.0,658793.0,149.0,11064.0,2092.0,-5820.0,993075.0,993074.0
9728015217,11423200,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""А1""",2023,,,4000.0,4000.0,,,4407.0,4407.0
9728015217,11423200,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""А1""",2022,,,,,,,356.0,356.0
9728015217,11423200,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""А1""",2021,,,,,,,256.0,256.0
4703176848,11369743,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБСОЛЮТ СТРОЙ СЕРВИС""",2024,,,,21.0,-2925.0,1593.0,75152.0,75152.0
4703176848,11369743,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБСОЛЮТ СТРОЙ СЕРВИС""",2023,,,,24.0,-4379.0,1095.0,68232.0,68232.0
4703176848,11369743,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБСОЛЮТ СТРОЙ СЕРВИС""",2022,,,,25.0,-3045.0,761.0,52953.0,52953.0
4703176848,11369743,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБСОЛЮТ СТРОЙ СЕРВИС""",2021,,,,20.0,-162.0,,16094.0,16094.0
3812134532,3687702,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВ-ГРУПП""",2024,685067.0,592479.0,6193.0,4451.0,6641.0,-2007.0,204001.0,204001.0
3812134532,3687702,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВ-ГРУПП""",2023,439285.0,372160.0,1836.0,1269.0,1195.0,-628.0,184250.0,184250.0
3812134532,3687702,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВ-ГРУПП""",2022,347325.0,304812.0,4160.0,803.0,3392.0,-1022.0,94580.0,94580.0
3812134532,3687702,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВ-ГРУПП""",2021,403886.0,357788.0,2697.0,327.0,10886.0,-3122.0,55000.0,55000.0
7704251564,6478902,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВАНТЕ ИНВЕСТМЕНТС""",2024,,,,57.0,-57.0,,4376.0,4376.0
7704251564,6478902,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВАНТЕ ИНВЕСТМЕНТС""",2023,,,,49.0,-49.0,,4432.0,4432.0
7704251564,6478902,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВАНТЕ ИНВЕСТМЕНТС""",2022,,,,70.0,-60.0,,4481.0,4481.0
7704251564,6478902,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВАНТЕ ИНВЕСТМЕНТС""",2021,,,0.0,308.0,-308.0,,4540.0,4540.0
9704199290,12098992,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВК""",2023,422203.0,419853.0,,285.0,-402.0,-80.0,157382.0,157382.0
9704199290,12098992,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВК""",2022,397745.0,362932.0,,52.0,20969.0,-5369.0,89513.0,89513.0
3327332190,3867230,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",2024,1297470.0,1223036.0,18073.0,22275.0,47723.0,-13461.0,695776.0,695776.0
3327332190,3867230,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",2023,1031417.0,953711.0,4059.0,3993.0,40101.0,-10025.0,369968.0,369968.0
3327332190,3867230,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",2022,458713.0,395005.0,10473.0,16304.0,30374.0,-7693.0,264126.0,264126.0
3327332190,3867230,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",2021,584483.0,522125.0,2725.0,3402.0,20565.0,-5560.0,204829.0,204829.0
